date,neg,neu,pos
"October 24, 2023",0.05600000000000001,0.85275,0.09125
"October 23, 2023",0.01,0.86,0.129
"October 20, 2023",0.034,0.934,0.031
"October 19, 2023",0.0545,0.8545,0.0905
"October 18, 2023",0.044,0.89,0.066
"October 17, 2023",0.114,0.758,0.127
"October 16, 2023",0.025,0.872,0.103
"October 13, 2023",0.058,0.87275,0.069
"October 12, 2023",0.11850000000000001,0.7925,0.089
"October 11, 2023",0.0955,0.8285,0.0755
"October 10, 2023",0.089,0.8005,0.1105
"October 9, 2023",0.059250000000000004,0.8704999999999999,0.07025
"October 6, 2023",0.022,0.865,0.113
"October 5, 2023",0.027999999999999997,0.904,0.068
"October 4, 2023",0.044,0.911,0.045
"October 3, 2023",0.048,0.882,0.07
"October 2, 2023",0.06133333333333333,0.8526666666666666,0.08600000000000001
"September 29, 2023",0.0445,0.8805000000000001,0.075
"September 28, 2023",0.0405,0.87425,0.0855
"September 27, 2023",0.07216666666666667,0.8391666666666667,0.08850000000000001
"September 26, 2023",0.07075000000000001,0.84875,0.08025
"September 25, 2023",0.0608,0.8612,0.07799999999999999
"September 23, 2023",0.061,0.837,0.102
"September 22, 2023",0.050166666666666665,0.85,0.09999999999999999
"September 21, 2023",0.03866666666666667,0.8893333333333332,0.072
"September 20, 2023",0.05620000000000001,0.858,0.08499999999999999
"September 19, 2023",0.06475,0.86725,0.0685
"September 18, 2023",0.0835,0.825,0.092
"September 15, 2023",0.081,0.845,0.074
"September 14, 2023",0.03933333333333334,0.9006666666666666,0.059666666666666666
"September 13, 2023",0.032,0.8645,0.1035
"September 12, 2023",0.0502,0.8524,0.0974
"September 11, 2023",0.045000000000000005,0.8463333333333334,0.10866666666666668
"September 10, 2023",0.058,0.863,0.079
"September 8, 2023",0.0654,0.8624,0.07239999999999999
"September 7, 2023",0.054333333333333324,0.856,0.08966666666666667
"September 5, 2023",0.047,0.8965,0.056499999999999995
"September 4, 2023",0.02,0.888,0.092
"September 1, 2023",0.054,0.903,0.043
"August 31, 2023",0.034999999999999996,0.8925000000000001,0.07250000000000001
"August 30, 2023",0.084,0.823,0.094
"August 29, 2023",0.04,0.86,0.0995
"August 28, 2023",0.04,0.8973333333333332,0.06266666666666666
"August 25, 2023",0.057,0.887,0.056
"August 24, 2023",0.043285714285714295,0.8592857142857142,0.09742857142857142
"August 23, 2023",0.04,0.8688333333333335,0.09100000000000001
"August 22, 2023",0.04175,0.8720000000000001,0.08625
"August 21, 2023",0.031,0.85,0.119
"August 18, 2023",0.028,0.898,0.074
"August 17, 2023",0.0595,0.85,0.0905
"August 16, 2023",0.055,0.8480000000000001,0.0975
"August 15, 2023",0.06033333333333333,0.9043333333333333,0.035333333333333335
"August 14, 2023",0.022,0.887,0.091
"August 12, 2023",0.0,0.962,0.038
"August 11, 2023",0.0795,0.823,0.097
"August 10, 2023",0.039,0.851,0.111
"August 9, 2023",0.04175,0.8747499999999999,0.08325
"August 8, 2023",0.1065,0.8205,0.07300000000000001
"August 7, 2023",0.08725000000000001,0.82575,0.087
"August 4, 2023",0.055,0.8706666666666667,0.07533333333333334
"August 3, 2023",0.06166666666666667,0.859,0.07933333333333333
"August 2, 2023",0.034666666666666665,0.887,0.07833333333333332
"August 1, 2023",0.0415,0.9155,0.044
"July 31, 2023",0.016,0.904,0.08
"July 28, 2023",0.027749999999999997,0.8845000000000001,0.08775
"July 27, 2023",0.0455,0.827,0.12775
"July 26, 2023",0.06333333333333334,0.834,0.103
"July 25, 2023",0.05266666666666667,0.8563333333333333,0.09100000000000001
"July 24, 2023",0.053,0.841,0.10600000000000001
"July 20, 2023",0.045,0.8444,0.11079999999999998
"July 19, 2023",0.05,0.879,0.07125000000000001
"July 17, 2023",0.056,0.86725,0.077
"July 14, 2023",0.083,0.83,0.087
"July 13, 2023",0.0354,0.8686,0.0958
"July 12, 2023",0.03666666666666667,0.828,0.13533333333333333
"July 11, 2023",0.037000000000000005,0.8454999999999999,0.1175
"July 10, 2023",0.05266666666666667,0.8450000000000001,0.102
"July 8, 2023",0.073,0.82,0.106
"July 7, 2023",0.036,0.794,0.17
"July 6, 2023",0.026250000000000002,0.899,0.07475000000000001
"July 5, 2023",0.032,0.915,0.054
"July 4, 2023",0.050333333333333334,0.8806666666666666,0.06899999999999999
"July 3, 2023",0.0455,0.848,0.1065
"June 30, 2023",0.0445,0.911,0.0445
"June 29, 2023",0.06699999999999999,0.8448333333333333,0.08800000000000001
"June 28, 2023",0.0265,0.89,0.08349999999999999
"June 27, 2023",0.069,0.8454999999999999,0.0855
"June 26, 2023",0.07300000000000001,0.8475,0.0795
"June 25, 2023",0.078,0.758,0.164
"June 23, 2023",0.0525,0.8785000000000001,0.06949999999999999
"June 22, 2023",0.036,0.915,0.05
"June 21, 2023",0.033,0.845,0.123
"June 20, 2023",0.018333333333333333,0.9386666666666666,0.043000000000000003
"June 16, 2023",0.0465,0.904,0.049499999999999995
"June 15, 2023",0.099,0.848,0.054
"June 14, 2023",0.038,0.905,0.057249999999999995
"June 13, 2023",0.048,0.87075,0.08099999999999999
"June 12, 2023",0.041499999999999995,0.879,0.08
"June 9, 2023",0.054000000000000006,0.8625,0.084
"June 8, 2023",0.045000000000000005,0.8544999999999999,0.10049999999999999
"June 7, 2023",0.07466666666666667,0.8293333333333334,0.09600000000000002
"June 5, 2023",0.071,0.864,0.065
"June 4, 2023",0.036,0.882,0.082
"June 2, 2023",0.04,0.874,0.086
"June 1, 2023",0.043000000000000003,0.8713333333333333,0.08600000000000001
"May 31, 2023",0.042499999999999996,0.88975,0.0675
"May 30, 2023",0.085,0.824,0.091
"May 29, 2023",0.07100000000000001,0.8214,0.1076
"May 28, 2023",0.075,0.842,0.083
"May 26, 2023",0.073,0.876,0.05
"May 25, 2023",0.09800000000000002,0.8176666666666667,0.08433333333333333
"May 24, 2023",0.121,0.826,0.053
"May 23, 2023",0.047999999999999994,0.8743333333333334,0.07766666666666666
"May 22, 2023",0.066,0.8300000000000001,0.10425
"May 21, 2023",0.027,0.906,0.067
"May 18, 2023",0.0165,0.878,0.1055
"May 16, 2023",0.044,0.8362499999999999,0.11950000000000001
"May 15, 2023",0.077,0.852,0.071
"May 12, 2023",0.0395,0.891,0.0695
"May 11, 2023",0.0655,0.8627499999999999,0.07175
"May 10, 2023",0.097,0.8425,0.061
"May 9, 2023",0.0745,0.8594999999999999,0.066
"May 8, 2023",0.029,0.858,0.113
"May 7, 2023",0.1,0.766,0.134
"May 4, 2023",0.0255,0.877,0.0975
"May 3, 2023",0.0535,0.879,0.067
"May 2, 2023",0.08088888888888889,0.8348888888888888,0.08411111111111111
"May 1, 2023",0.04,0.784,0.176
"April 28, 2023",0.042,0.8594999999999999,0.0985
"April 27, 2023",0.09060000000000001,0.8328,0.0764
