,CURRENCY_Log_Change,CURRENCY_High_Low_Spread,GOLD_Log_Change,GOLD_High_Low_Spread,TREASURY_Log_Change,TREASURY_High_Low_Spread,VIX_Log_Change,VIX_High_Low_Spread,NASDAQ_1hr_Moving_Average,NASDAQ_Volatility,SENTIMENT_Neg,SENTIMENT_Neu,SENTIMENT_Pos
2022-11-21,0.0,0.0106207132339477,0.0,8.800048828125,0.0,0.0739998817443847,0.0,1.8200019999999988,11592.2901,0.0006074238686068,,,
2022-11-22,-0.0082820049087506,0.0046800374984741,0.0005178953391911,3.39990234375,-0.0176716061609081,0.0679998397827148,-0.0490361671338208,1.4299980000000012,11554.068349999998,0.0010868991604967,0.008,0.832,0.16
2022-11-23,0.0063623649065434,0.0083929300308227,0.0037896091787737,14.4000244140625,-0.0139337215314973,0.1019999980926513,-0.0451566139871916,1.4600009999999983,11725.8161,0.0005823572651623,0.0505,0.855,0.0945
2022-11-25,-0.0007809388137341,0.0072903633117675,0.0048024929294994,8.7000732421875,-0.0040557321386159,0.0750000476837158,0.0,0.6500020000000006,11834.278,0.0007800830701362,0.0653333333333333,0.8513333333333334,0.0826666666666666
2022-11-28,-0.0039059344481852,0.0154266357421875,-0.0075571855340836,1.2000732421875,0.0032459005606186,0.0499999523162841,0.0801177067372089,0.8500000000000014,11754.62225,0.0009600721672809,0.025,0.945,0.03
2022-11-29,-0.0021230044815688,0.006868839263916,0.0047585291615505,20.2999267578125,0.0120790189657601,0.0800001621246337,-0.0145127270297611,0.740000000000002,11588.2792,0.001576174482061,0.073,0.3515,0.0755
2022-11-30,-0.0020359552381959,0.0102276802062988,-0.0013736405532714,24.300048828125,-0.0120790189657601,0.1080000400543212,-0.0617101354459067,2.3200000000000003,11505.6755,0.0011858029793431,0.0385,0.9065,0.055
2022-12-01,0.0097210737187349,0.0133485794067382,0.0310701183883798,35.0,-0.0481287633502888,0.1040000915527343,-0.0366196285491766,1.2600000000000016,12031.51385,0.000933792303026,0.0339999999999999,0.8433333333333334,0.123
2022-12-02,0.0098376533788161,0.0111019611358642,-0.0028912731689037,22.9000244140625,-0.0065387586565647,0.1340000629425048,-0.0401082560965691,2.0099979999999995,12034.18465,0.0009622102047934,0.0765,0.841,0.0819999999999999
2022-12-05,0.0014961831121075,0.0101708173751831,-0.0159967487215729,43.699951171875,0.0261802242697246,0.0989999771118164,0.0849544009165497,1.5100000000000016,11990.91485,0.0010528320858775,0.03175,0.8825000000000001,0.08575
2022-12-06,-0.0044923291025755,0.0055062770843505,0.0010744618189316,11.5,-0.0241856461959675,0.0750000476837158,0.0661937769515127,2.220001,11785.2894,0.0012536008753812,0.0424999999999999,0.879,0.078375
2022-12-07,-0.0026626879889508,0.0102431774139404,0.0091144723181207,21.0,-0.0303447698129334,0.1510000228881836,0.0227434552313312,0.8300000000000018,11549.20215,0.001030459608617,0.085,0.876,0.038
2022-12-08,0.004217558881531,0.0071481466293334,0.0017905836665891,8.9000244140625,0.0240626033645661,0.0580000877380371,-0.0173452865986074,1.2200019999999974,11498.08535,0.000876105759793,0.045,0.877,0.07825
2022-12-09,0.0044040868037146,0.0068392753601074,0.0052414665587995,13.2000732421875,0.0215366716866399,0.1059999465942382,0.0239372682807602,1.029999,11634.7597,0.0008140305375305,0.02,0.9,0.08
2022-12-12,-0.0035522143897896,0.007214069366455,-0.0098363145420593,16.2000732421875,0.0122598774182805,0.1090002059936523,0.0908003643264967,0.869999,11563.8173,0.0019336567294656,0.0361999999999999,0.8912000000000001,0.0723999999999999
2022-12-13,0.0018535661317022,0.0139634609222412,0.0185850131055225,39.300048828125,-0.030936137927797,0.1679999828338623,-0.1031408032654124,4.380001,11725.4864,0.002246184797874,0.03075,0.9025,0.06675
2022-12-14,0.0080227558991893,0.0049744844436645,-0.0035345617904352,14.9000244140625,0.0005711289346533,0.0809998512268066,-0.0645680884643875,2.399999000000001,11835.3514,0.0012026229883668,0.024,0.8765000000000001,0.099
2022-12-15,0.0046654155309934,0.0118207931518554,-0.0169056104459163,26.199951171875,-0.015245505340105,0.0909998416900634,0.0769085274033034,2.4200000000000017,11730.263600000002,0.0012194642487153,0.0496666666666666,0.844,0.106
2022-12-16,-0.0033574727857118,0.0063858032226562,0.0071765552477973,13.5,0.0092326288000201,0.0950000286102294,-0.0092409456450658,1.7399999999999984,11344.88105,0.0010255609684195,0.099,0.823,0.078
2022-12-19,-0.0052320434161781,0.0081804990768432,-0.0012857697271356,10.7000732421875,0.0280352423852578,0.0490000247955322,-0.0088810972526242,1.25,11241.09155,0.0011537545546841,0.079,0.827,0.095
2022-12-20,0.0027877497947176,0.0074861049652099,0.0156513759026935,34.9000244140625,0.028357006485055,0.0479998588562011,-0.0428311480033499,2.039998999999998,11081.74325,0.0008982643633798,,,
2022-12-21,0.0011683215286929,0.004646897315979,0.0,7.0,0.0,0.0759999752044677,-0.0678961068324171,1.3500000000000014,11073.22945,0.0011969352005304,0.0646666666666666,0.868,0.0673333333333333
2022-12-22,-0.0015928200295245,0.0073431730270385,-0.0160429898509304,33.0999755859375,-0.0040800015950168,0.0449998378753662,0.0904516780716575,4.289998999999998,11226.7872,0.0012065924486309,0.055,0.8965000000000001,0.049
2022-12-23,-0.0006363550446384,0.0043224096298217,0.0049680664595954,8.7000732421875,0.0221033308371517,0.0580000877380371,-0.0513650718751277,1.859998000000001,10953.1734,0.0009424404541263,0.074,0.819,0.107
