Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume,TMUS_Log_Change,TMUS_High_Low_Spread,TMUS_Volume,TMUS_1hr_Moving_Average,TMUS_RSI,TMUS_Volatility
2022-11-21 09:30:00,2022-11-21 09:30:00,149.39,0.289999999999992,0.001945003353454,147.9,147.9,149.44,1591.0,,1.539999999999992,1591.0,,,0.0029874072907460033
2022-11-21 09:35:00,2022-11-21 09:35:00,149.02,-0.369999999999976,-0.00247673873753247,149.44,148.87,150.235,82263.0,-0.002479810928644361,1.365000000000009,82263.0,,,0.0029874072907460033
2022-11-21 09:40:00,2022-11-21 09:40:00,149.83,0.810000000000002,0.00543551201181051,148.9032,148.9032,150.13,49326.0,0.005420792929471445,1.2267999999999972,49326.0,,,0.0029874072907460033
2022-11-21 09:45:00,2022-11-21 09:45:00,149.85,0.0199999999999818,0.000133484615897896,149.84,149.72,150.12,32640.0,0.0001334757076191902,0.4000000000000057,32640.0,,,0.0029874072907460033
2022-11-21 09:50:00,2022-11-21 09:50:00,149.8,-0.0499999999999829,-0.000333667000333553,149.89,149.76,150.19,34611.0,-0.0003337226795529941,0.4300000000000068,34611.0,,,0.0029874072907460033
2022-11-21 09:55:00,2022-11-21 09:55:00,149.766,-0.0340000000000202,-0.000226969292389988,149.8,149.62,150.0,35696.0,-0.00022699505381792,0.37999999999999545,35696.0,,,0.0029874072907460033
2022-11-21 10:00:00,2022-11-21 10:00:00,149.92,0.153999999999996,0.00102827076906639,149.75,149.64,149.98,34601.0,0.0010277424608106582,0.3400000000000034,34601.0,,,0.0029874072907460033
2022-11-21 10:05:00,2022-11-21 10:05:00,149.97,0.0500000000000114,0.000333511205976597,149.93,149.82,150.13,61114.0,0.0003334556034766827,0.3100000000000023,61114.0,,,0.0029874072907460033
2022-11-21 10:10:00,2022-11-21 10:10:00,150.07,0.0999999999999943,0.000666800026671963,149.92,149.86,150.19,109509.0,0.0006665778143093887,0.3299999999999841,109509.0,,,0.0029874072907460033
2022-11-21 10:15:00,2022-11-21 10:15:00,149.79,-0.280000000000001,-0.00186579596188446,150.034751,149.7853,150.101994,22371.0,-0.001867538727270567,0.31669399999998404,22371.0,,,0.0029874072907460033
2022-11-21 10:20:00,2022-11-21 10:20:00,149.96,0.170000000000016,0.00113492222444767,149.839111,149.77,150.02,30801.0,0.0011342786870837745,0.25,30801.0,,,0.0029874072907460033
2022-11-21 10:25:00,2022-11-21 10:25:00,149.88,-0.0800000000000125,-0.000533475593491681,149.955,149.8,149.995,43487.0,-0.0005336179422247659,0.19499999999999318,43487.0,,,0.0029874072907460033
2022-11-21 10:30:00,2022-11-21 10:30:00,149.955,0.0750000000000171,0.000500400320256319,149.84,149.84,150.09,36168.0,0.0005002751617671242,0.25,36168.0,,,0.0029874072907460033
2022-11-21 10:35:00,2022-11-21 10:35:00,150.1583,0.203299999999984,0.00135574005534983,149.97,149.95,150.25,45085.0,0.001354821869588165,0.30000000000001137,45085.0,,,0.0029874072907460033
2022-11-21 10:40:00,2022-11-21 10:40:00,150.2999,0.141600000000011,0.000943004815584693,150.1688,150.07,150.3,34141.0,0.0009425604658709665,0.2300000000000182,34141.0,,83.17451786932358,0.0029874072907460033
2022-11-21 10:45:00,2022-11-21 10:45:00,150.45,0.150099999999981,0.000998669992461609,150.265,150.25,150.59,53380.0,0.0009981716533412632,0.3400000000000034,53380.0,,83.6808340016039,0.0029874072907460033
