Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume,HON_Log_Change,HON_High_Low_Spread,HON_Volume,HON_1hr_Moving_Average,HON_RSI,HON_Volatility
2022-11-21 09:30:00,2022-11-21 09:30:00,215.01,0.409999999999997,0.00191053122087603,214.58,213.84,215.63,517.0,,1.789999999999992,517.0,,,0.0010418120541819834
2022-11-21 09:35:00,2022-11-21 09:35:00,215.885,0.875,0.00406957815915539,215.02,213.85,216.31,57100.0,0.004061319823671167,2.460000000000008,57100.0,,,0.0010418120541819834
2022-11-21 09:40:00,2022-11-21 09:40:00,215.81,-0.0749999999999886,-0.00034740718438052,215.885,215.0,216.55,25493.0,-0.0003474675442364488,1.5500000000000114,25493.0,,,0.0010418120541819834
2022-11-21 09:45:00,2022-11-21 09:45:00,215.5875,-0.222499999999997,-0.00103099949029237,215.84,215.3929,215.95,14228.0,-0.0010315313358533122,0.5570999999999913,14228.0,,,0.0010418120541819834
2022-11-21 09:50:00,2022-11-21 09:50:00,215.94,0.352499999999992,0.00163506696816834,215.57,215.5,216.2354,50162.0,0.0016337317014753611,0.7353999999999985,50162.0,,,0.0010418120541819834
2022-11-21 09:55:00,2022-11-21 09:55:00,216.1589,0.218899999999991,0.0010137075113457,216.01,215.8,216.49,30125.0,0.0010131940568522046,0.6899999999999977,30125.0,,,0.0010418120541819834
2022-11-21 10:00:00,2022-11-21 10:00:00,216.3047,0.145800000000008,0.000674503802526791,216.21,215.89,216.4,22617.0,0.0006742764270750526,0.5100000000000193,22617.0,,,0.0010418120541819834
2022-11-21 10:05:00,2022-11-21 10:05:00,216.875,0.570300000000003,0.00263655852138212,216.33,216.27,217.14,40447.0,0.002633088898202096,0.8699999999999761,40447.0,,,0.0010418120541819834
2022-11-21 10:10:00,2022-11-21 10:10:00,216.729,-0.145999999999987,-0.000673198847262186,216.87,216.58,217.03,25334.0,-0.00067342554735465,0.44999999999998863,25334.0,,,0.0010418120541819834
2022-11-21 10:15:00,2022-11-21 10:15:00,216.6118,-0.117200000000025,-0.00054076750227254,216.74,216.52,217.03,18174.0,-0.0005409137697517659,0.5099999999999909,18174.0,,,0.0010418120541819834
2022-11-21 10:20:00,2022-11-21 10:20:00,216.43,-0.181799999999981,-0.000839289456991638,216.58,216.21,216.74,18482.0,-0.0008396418575791361,0.5300000000000011,18482.0,,,0.0010418120541819834
2022-11-21 10:25:00,2022-11-21 10:25:00,215.9566,-0.473399999999998,-0.00218731229496834,216.43,215.86,216.45,24605.0,-0.0021897079565170487,0.589999999999975,24605.0,,,0.0010418120541819834
2022-11-21 10:30:00,2022-11-21 10:30:00,216.03,0.0733999999999924,0.000339883106142588,215.9148,215.79,216.114,33050.0,0.0003398253589640936,0.3240000000000123,33050.0,,,0.0010418120541819834
2022-11-21 10:35:00,2022-11-21 10:35:00,216.0263,-0.00370000000000914,-1.71272508448324e-05,216.02,215.75,216.1,21512.0,-1.712739751783054e-05,0.3499999999999943,21512.0,,,0.0010418120541819834
2022-11-21 10:40:00,2022-11-21 10:40:00,216.09,0.0637000000000114,0.000294871504071548,216.0042,215.98,216.1899,27432.0,0.0002948280380140267,0.20990000000000464,27432.0,,,0.0010418120541819834
2022-11-21 10:45:00,2022-11-21 10:45:00,215.89,-0.200000000000017,-0.000925540284140946,216.135,215.66,216.135,36112.0,-0.0009259688610135658,0.4749999999999943,36112.0,,,0.0010418120541819834
2022-11-21 10:50:00,2022-11-21 10:50:00,215.79,-0.0999999999999943,-0.000463198851266823,215.835,215.46,215.9,23525.0,-0.00046330616099312543,0.4399999999999977,23525.0,,,0.0010418120541819834
2022-11-21 10:55:00,2022-11-21 10:55:00,216.3799,0.5899,0.0027336762593262,215.7603,215.7603,216.3999,16192.0,0.002729946562024577,0.6396000000000015,16192.0,,65.53491642285277,0.0010418120541819834
2022-11-21 11:00:00,2022-11-21 11:00:00,216.45,0.0700999999999965,0.000323967244647014,216.3,216.25,216.615,29471.0,0.000323914778590531,0.3650000000000091,29471.0,,66.07429898196106,0.0010418120541819834
2022-11-21 11:05:00,2022-11-21 11:05:00,216.4164,-0.0335999999999785,-0.000155232155232056,216.45,216.31,216.48,15134.0,-0.0001552442049900863,0.1699999999999875,15134.0,216.024215,65.58234355610739,0.0010418120541819834
2022-11-21 11:10:00,2022-11-21 11:10:00,216.305,-0.111400000000003,-0.000514748420175196,216.38,216.18,216.5671,14811.0,-0.0005148809486243761,0.3871000000000038,14811.0,216.114215,64.00242204056943,0.0010418120541819834
2022-11-21 11:15:00,2022-11-21 11:15:00,215.97,-0.335000000000008,-0.00154873904902803,216.27,215.97,216.27,19709.0,-0.0015499395850538647,0.30000000000001137,19709.0,216.17671499999997,51.04059546545233,0.0010418120541819834
2022-11-21 11:20:00,2022-11-21 11:20:00,216.33,0.360000000000014,0.00166689818030288,215.985,215.985,216.45,16913.0,0.0016655104474567635,0.464999999999975,16913.0,216.18171500000003,55.95074613201513,0.0010418120541819834
2022-11-21 11:25:00,2022-11-21 11:25:00,216.64,0.309999999999974,0.00143299588591492,216.33,216.32,216.7071,15771.0,0.0014319701271322328,0.3871000000000038,15771.0,216.20621500000001,61.80806426279517,0.0010418120541819834
2022-11-21 11:30:00,2022-11-21 11:30:00,216.27,-0.369999999999976,-0.00170790251107818,216.64,216.21,216.645,23451.0,-0.0017093626393131771,0.4350000000000023,23451.0,216.259715,53.68781011130498,0.0010418120541819834
