,Local Time,Close,Net,%Chg,Open,Low,High,Volume,NASDAQ_Log_Change,NASDAQ_1hr_Moving_Average,NASDAQ_Volatility
2022-11-21 09:30:00,2022-11-21 09:35:00,11611.015,,,11623.349,11607.036,11659.681,15027141.0,,,
2022-11-21 09:35:00,2022-11-21 09:35:00,11611.015,,,11623.349,11607.036,11659.681,15027141.0,,,
2022-11-21 09:40:00,2022-11-21 09:40:00,11611.413,0.398000000001048,3.42777956966766e-05,11611.195,11601.072,11622.134,2766882.0,9.788407270820664e-05,,
2022-11-21 09:45:00,2022-11-21 09:45:00,11623.244,11.8310000000001,0.00101891130734908,11611.245,11609.158,11638.07,2879438.0,0.00030664139833867776,,
2022-11-21 09:50:00,2022-11-21 09:50:00,11652.79,29.5460000000003,0.00254197537279612,11622.573,11615.937,11657.398,2693571.0,0.0027815704809313955,,
2022-11-21 09:55:00,2022-11-21 09:55:00,11653.419,0.628999999998996,5.39784892715818e-05,11652.676,11646.647,11664.938,2305191.0,0.00030352830200811243,,
2022-11-21 10:00:00,2022-11-21 10:00:00,11631.201,-22.2180000000008,-0.00190656493171667,11653.143,11627.174,11653.993,2281220.0,-0.001674889636235419,,
2022-11-21 10:05:00,2022-11-21 10:05:00,11606.272,-24.9289999999983,-0.00214328683684499,11631.291,11605.687,11640.524,2304810.0,-0.0012362700119169707,,
2022-11-21 10:10:00,2022-11-21 10:10:00,11597.591,-8.68100000000049,-0.000747957655998455,11605.926,11587.163,11606.242,2134922.0,-0.00046317992323400246,,
2022-11-21 10:15:00,2022-11-21 10:15:00,11592.559,-5.03200000000106,-0.000433883209021689,11598.001,11591.922,11606.475,1731809.0,0.0004088271935720695,,
2022-11-21 10:20:00,2022-11-21 10:20:00,11602.557,9.99800000000141,0.000862449783520741,11592.273,11588.632,11605.624,2080138.0,0.00025434533929712567,,
2022-11-21 10:25:00,2022-11-21 10:25:00,11574.78,-27.777,-0.00239404124452912,11602.391,11563.179,11602.942,2438812.0,-0.0014639141319656543,,
2022-11-21 10:30:00,2022-11-21 10:30:00,11576.294,1.51399999999921,0.000130801622147394,11574.814,11571.563,11580.623,1765326.0,0.00034822730889246374,,
2022-11-21 10:35:00,2022-11-21 10:35:00,11565.945,-10.3490000000002,-0.000893982132796572,11575.486,11565.945,11581.168,1982292.0,-0.0006290738999220682,,
2022-11-21 10:40:00,2022-11-21 10:40:00,11571.267,5.32200000000012,0.000460143983046791,11566.409,11566.293,11581.832,1941774.0,0.0004310344894323109,,
2022-11-21 10:45:00,2022-11-21 10:45:00,11559.175,-12.0920000000006,-0.00104500224564869,11570.91,11555.621,11576.648,2124804.0,-0.0011302278317991503,,
2022-11-21 10:50:00,2022-11-21 10:50:00,11551.289,-7.8859999999986,-0.000682228619256876,11559.758,11546.672,11559.783,2093104.0,-0.00044678127530991293,,
2022-11-21 10:55:00,2022-11-21 10:55:00,11556.817,5.52799999999843,0.000478561310343671,11551.121,11549.059,11557.338,2137432.0,0.0005361135817443219,,
2022-11-21 11:00:00,2022-11-21 11:00:00,11566.666,9.84900000000016,0.000852224275940353,11556.956,11556.577,11569.264,2066981.0,0.0010691892710341406,,
2022-11-21 11:05:00,2022-11-21 11:05:00,11564.579,-2.08699999999953,-0.000180432287056576,11567.342,11557.124,11572.34,1680378.0,-0.0001175331107361032,,
2022-11-21 11:10:00,2022-11-21 11:10:00,11576.929,12.3500000000004,0.00106791609102245,11564.386,11563.919,11580.048,1523249.0,0.0003938991386237058,11592.2901,
2022-11-21 11:15:00,2022-11-21 11:15:00,11580.885,3.95600000000013,0.000341714110883822,11576.598,11569.831,11585.511,1613831.0,0.00047203929461529,11590.7836,
2022-11-21 11:20:00,2022-11-21 11:20:00,11580.853,-0.0320000000010623,-2.76317397168371e-06,11581.324,11580.782,11592.698,1581233.0,0.00010438413370646496,11589.2556,
2022-11-21 11:25:00,2022-11-21 11:25:00,11593.212,12.3590000000004,0.00106719254617949,11580.905,11578.308,11595.199,1676116.0,0.0007303840057579047,11587.754,
2022-11-21 11:30:00,2022-11-21 11:30:00,11574.57,-18.6419999999998,-0.00160800992856853,11593.237,11573.907,11597.064,1441450.0,-0.0016332321721390514,11583.842999999999,
2022-11-21 11:35:00,2022-11-21 11:35:00,11562.949,-11.6209999999992,-0.00100401138012031,11575.488,11561.015,11577.88,1505295.0,-0.0007533596712311866,11579.319500000001,
2022-11-21 11:40:00,2022-11-21 11:40:00,11566.481,3.53199999999924,0.000305458408577193,11562.673,11562.643,11572.978,1254660.0,0.0005073826459864161,11576.0835,
2022-11-21 11:45:00,2022-11-21 11:45:00,11561.201,-5.28000000000065,-0.000456491477399276,11566.603,11559.904,11576.674,1207100.0,-0.00023297208250678988,11573.829950000001,
2022-11-21 11:50:00,2022-11-21 11:50:00,11567.669,6.46800000000076,0.000559457447370802,11561.274,11557.738,11568.803,1082426.0,0.0007901430613490552,11572.333849999999,
2022-11-21 11:55:00,2022-11-21 11:55:00,11574.638,6.96900000000096,0.000602454997631844,11567.515,11563.871,11580.951,1391383.0,0.0007047247297666455,11571.437800000002,
2022-11-21 12:00:00,2022-11-21 12:00:00,11549.803,-24.8350000000009,-0.00214563945757966,11574.589,11538.764,11574.797,1731651.0,-0.0029483580027810357,11568.8001,
2022-11-21 12:05:00,2022-11-21 12:05:00,11554.329,4.52599999999984,0.000391868155673291,11549.464,11547.009,11565.825,1359472.0,0.0014970405198993396,11567.777549999999,
2022-11-21 12:10:00,2022-11-21 12:10:00,11553.389,-0.940000000000509,-8.13547891877156e-05,11554.384,11549.636,11560.459,947731.0,0.00011104470213876358,11566.6323,
