Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume,QCOM_Log_Change,QCOM_High_Low_Spread,QCOM_Volume,QCOM_1hr_Moving_Average,QCOM_RSI
2023-11-08 16:00:00,2023-11-08 16:00:00,120.06,0.105000000000004,0.000875328248093068,119.96,119.87,120.13,414142.0,,0.2599999999999909,414142.0,,
2023-11-08 15:55:00,2023-11-08 15:55:00,119.955,0.125,0.00104314445464408,119.83,119.73,119.98,219079.0,-0.0008749453717341643,0.25,219079.0,,
2023-11-08 15:50:00,2023-11-08 15:50:00,119.83,-0.180000000000007,-0.00149987501041586,120.01,119.83,120.03,78411.0,-0.0010426007575376458,0.20000000000000284,78411.0,,
2023-11-08 15:45:00,2023-11-08 15:45:00,120.01,0.170000000000002,0.0014185580774366,119.84,119.83,120.08,136926.0,0.001501000948924911,0.25,136926.0,,
2023-11-08 15:40:00,2023-11-08 15:40:00,119.84,0.100000000000009,0.000835142809420482,119.74,119.74,119.91,105688.0,-0.0014175528744407024,0.1700000000000017,105688.0,,
2023-11-08 15:35:00,2023-11-08 15:35:00,119.74,-0.0799999999999983,-0.000667668168920033,119.82,119.72,119.85,62217.0,-0.0008347942717034262,0.12999999999999545,62217.0,,
2023-11-08 15:30:00,2023-11-08 15:30:00,119.82,0.0799999999999983,0.000668114247536315,119.73,119.71,119.85,41556.0,0.0006678911585727437,0.14000000000000057,41556.0,,
2023-11-08 15:25:00,2023-11-08 15:25:00,119.74,0.0249999999999915,0.000208829302927716,119.715,119.651,119.76,45491.0,-0.0006678911585728692,0.10900000000000887,45491.0,,
2023-11-08 15:20:00,2023-11-08 15:20:00,119.715,0.0649999999999977,0.000543251149185104,119.66,119.5878,119.72,46980.0,-0.00020880750112403973,0.13219999999999743,46980.0,,
2023-11-08 15:15:00,2023-11-08 15:15:00,119.65,0.0661000000000058,0.00055274999393736,119.5998,119.56,119.71,54750.0,-0.000543103641699564,0.14999999999999147,54750.0,,
2023-11-08 15:10:00,2023-11-08 15:10:00,119.5839,0.0538999999999987,0.000450932820212488,119.51,119.4442,119.67,43664.0,-0.0005525972839304695,0.22580000000000666,43664.0,,
2023-11-08 15:05:00,2023-11-08 15:05:00,119.53,0.0700000000000074,0.00058597019922993,119.47,119.38,119.53,46664.0,-0.00045083118056223574,0.15000000000000568,46664.0,,
2023-11-08 15:00:00,2023-11-08 15:00:00,119.46,-0.147900000000007,-0.00123654039574315,119.61,119.41,119.615,124092.0,-0.0005857985857296909,0.2049999999999983,124092.0,,
2023-11-08 14:55:00,2023-11-08 14:55:00,119.6079,-0.00480000000000302,-4.01295180194329e-05,119.6,119.57,119.65,33338.0,0.0012373055426400646,0.0800000000000125,33338.0,,
2023-11-08 14:50:00,2023-11-08 14:50:00,119.6127,-0.1173,-0.000979704334753196,119.73,119.58,119.76,34624.0,4.013032323015802e-05,0.18000000000000682,34624.0,,
2023-11-08 14:45:00,2023-11-08 14:45:00,119.73,0.120000000000005,0.00100326059694009,119.62,119.4656,119.75,28304.0,0.000980184558722309,0.2844000000000051,28304.0,,
2023-11-08 14:40:00,2023-11-08 14:40:00,119.61,0.209999999999994,0.00175879396984919,119.39,119.34,119.61,30848.0,-0.0010027576673789377,0.269999999999996,30848.0,,
2023-11-08 14:35:00,2023-11-08 14:35:00,119.4,0.0373000000000019,0.000312492931208844,119.37,119.3502,119.535,34092.0,-0.0017572491028715687,0.18479999999999563,34092.0,,
2023-11-08 14:30:00,2023-11-08 14:30:00,119.3627,0.00270000000000437,2.2620643431672e-05,119.35,119.32,119.44,30082.0,-0.00031244411546231277,0.12000000000000455,30082.0,,
2023-11-08 14:25:00,2023-11-08 14:25:00,119.36,-0.0300000000000011,-0.000251277326409257,119.38,119.34,119.42,26516.0,-2.262038758873373e-05,0.0799999999999983,26516.0,119.64674,30.113636363636658
2023-11-08 14:20:00,2023-11-08 14:20:00,119.39,0.0700000000000074,0.000586657727120411,119.33,119.31,119.49,32433.0,0.0002513089018461679,0.1799999999999926,32433.0,119.61524,31.28491620111764
2023-11-08 14:15:00,2023-11-08 14:15:00,119.32,-0.160000000000011,-0.00133913625711425,119.47,119.31,119.5,22247.0,-0.0005864857107492379,0.18999999999999773,22247.0,119.59724000000001,31.908831908832155
2023-11-08 14:10:00,2023-11-08 14:10:00,119.48,0.0400000000000063,0.000334896182183575,119.44,119.4,119.53,39027.0,0.0013400337013614204,0.12999999999999545,39027.0,119.56873999999998,40.22346368715126
2023-11-08 14:05:00,2023-11-08 14:05:00,119.44,0.0300000000000011,0.000251235239929664,119.39,119.38,119.51,43718.0,-0.000334840116974122,0.13000000000000966,43718.0,119.54624000000001,32.727272727273004
2023-11-08 14:00:00,2023-11-08 14:00:00,119.41,0.0249999999999915,0.000209406541860296,119.38,119.35,119.45,22213.0,-0.0002512036856416545,0.10000000000000853,22213.0,119.52824000000001,35.761589403973744
2023-11-08 13:55:00,2023-11-08 13:55:00,119.385,-0.0150000000000006,-0.000125628140703522,119.42,119.34,119.46,28536.0,-0.00020938461937084187,0.11999999999999034,28536.0,119.50824,37.63066202090655
