Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume,COST_Log_Change,COST_High_Low_Spread,COST_Volume,COST_1hr_Moving_Average,COST_RSI,COST_Volatility
2022-11-21 09:30:00,2022-11-21 09:30:00,525.85,3.10000000000002,0.00593017694882836,523.64,521.5,525.85,2188.0,0.0059126626572944116,4.350000000000023,2188.0,,,0.0012799588450050138
2022-11-21 09:35:00,2022-11-21 09:35:00,523.1279,-2.72210000000007,-0.00517657126557016,525.7,523.0,526.0045,42410.0,-0.0051900161295392626,3.0045000000000073,42410.0,,,0.0012799588450050138
2022-11-21 09:40:00,2022-11-21 09:40:00,523.5044,0.376500000000078,0.000719709271862729,523.02,523.0,525.74,13291.0,0.0007194504053430191,2.740000000000009,13291.0,,,0.0012799588450050138
2022-11-21 09:45:00,2022-11-21 09:45:00,524.21,0.705600000000004,0.00134783967431793,523.5,523.37,525.41,18493.0,0.0013469321537939267,2.0399999999999636,18493.0,,,0.0012799588450050138
2022-11-21 09:50:00,2022-11-21 09:50:00,526.9188,2.7088,0.00516739474638026,524.31,524.06,526.94,27033.0,0.005154089577836494,2.880000000000109,27033.0,,,0.0012799588450050138
2022-11-21 09:55:00,2022-11-21 09:55:00,525.27,-1.64880000000005,-0.0031291348875767,526.54,525.0,527.28,22581.0,-0.003134040867136745,2.2799999999999727,22581.0,,,0.0012799588450050138
2022-11-21 10:00:00,2022-11-21 10:00:00,525.64,0.370000000000005,0.000704399642088839,525.27,524.67,525.9,42801.0,0.0007041516691021283,1.2300000000000182,42801.0,,,0.0012799588450050138
2022-11-21 10:05:00,2022-11-21 10:05:00,523.912,-1.72799999999995,-0.00328742104862634,525.64,523.64,526.1999,34252.0,-0.0032928364890140835,2.5598999999999705,34252.0,,,0.0012799588450050138
2022-11-21 10:10:00,2022-11-21 10:10:00,522.8763,-1.03570000000002,-0.00197685870909622,523.84,522.4,523.99,20188.0,-0.001978815273266634,1.5900000000000318,20188.0,,,0.0012799588450050138
2022-11-21 10:15:00,2022-11-21 10:15:00,522.9875,0.11119999999994,0.000212669803546154,522.86,522.58,523.65,10890.0,0.00021264719252912174,1.0699999999999363,10890.0,,,0.0012799588450050138
2022-11-21 10:20:00,2022-11-21 10:20:00,523.3963,0.408800000000042,0.000781663041659776,522.975,522.65,523.67,10953.0,0.0007813577022090532,1.0199999999999818,10953.0,,,0.0012799588450050138
2022-11-21 10:25:00,2022-11-21 10:25:00,523.04,-0.356300000000033,-0.000680746119145345,523.14,522.2595,523.75,15312.0,-0.0006809779319945044,1.4904999999999973,15312.0,,,0.0012799588450050138
2022-11-21 10:30:00,2022-11-21 10:30:00,523.8101,0.77010000000007,0.00147235393086584,523.38,522.907949,524.3699,7110.0,0.0014712710805792717,1.4619509999999991,7110.0,,,0.0012799588450050138
2022-11-21 10:35:00,2022-11-21 10:35:00,524.3183,0.508199999999988,0.000970198932781151,523.91,523.67,524.88,9452.0,0.0009697285939866821,1.2100000000000364,9452.0,523.76275,54.2541247006378,0.0012799588450050138
