Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume,TSLA_Log_Change,TSLA_High_Low_Spread,TSLA_Volume,TSLA_1hr_Moving_Average,TSLA_RSI,TSLA_Volatility
2022-11-21 09:30:00,2022-11-21 09:30:00,175.8,,,176.09,175.66,176.18,62788,,0.5200000000000102,62788,,,0.0025674365452918227
2022-11-21 09:35:00,2022-11-21 09:35:00,173.38,-2.42000000000002,-0.0137656427758818,175.8,173.32,176.78,4466074,-0.013861267810582374,3.460000000000008,4466074,,,0.0025674365452918227
2022-11-21 09:40:00,2022-11-21 09:40:00,174.26,0.879999999999995,0.0050755565809205,173.38,173.23,175.9388,1884851,0.0050627193626463125,2.7087999999999965,1884851,,,0.0025674365452918227
2022-11-21 09:45:00,2022-11-21 09:45:00,174.805,0.545000000000016,0.00312751061632053,174.2679,174.0,175.66,1976213,0.003122630128197443,1.6599999999999966,1976213,,,0.0025674365452918227
2022-11-21 09:50:00,2022-11-21 09:50:00,175.79,0.984999999999985,0.00563485026172012,174.78,174.63,176.1999,1735589,0.005619033880461291,1.5699000000000183,1735589,,,0.0025674365452918227
2022-11-21 09:55:00,2022-11-21 09:55:00,175.7299,-0.0601000000000056,-0.000341885203936547,175.79,175.41,176.64,1838237,-0.0003419436600067459,1.2299999999999898,1838237,,,0.0025674365452918227
2022-11-21 10:00:00,2022-11-21 10:00:00,174.1273,-1.6026,-0.00911967741403139,175.66,173.83,175.77,1969104,-0.009161516237408785,1.9399999999999977,1969104,,,0.0025674365452918227
2022-11-21 10:05:00,2022-11-21 10:05:00,173.8655,-0.261799999999994,-0.00150349772838604,174.13,173.4,174.1888,1549145,-0.0015046291152628778,0.7887999999999806,1549145,,,0.0025674365452918227
2022-11-21 10:10:00,2022-11-21 10:10:00,174.12,0.254500000000007,0.00146377515953428,173.8698,173.4,174.16,1237466,0.0014627048849757364,0.7599999999999909,1237466,,,0.0025674365452918227
2022-11-21 10:15:00,2022-11-21 10:15:00,173.67,-0.450000000000017,-0.00258442453480368,174.1247,173.57,174.29,1026607,-0.0025877699250739378,0.7199999999999989,1026607,,,0.0025674365452918227
2022-11-21 10:20:00,2022-11-21 10:20:00,173.97,0.300000000000011,0.00172741406115052,173.68,173.4563,174.28,1080954,0.0017259237974360231,0.8237000000000023,1080954,,,0.0025674365452918227
