Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume,GOOGL_Log_Change,GOOGL_High_Low_Spread,GOOGL_Volume,GOOGL_1hr_Moving_Average,GOOGL_RSI
2023-11-08 16:00:00,2023-11-08 16:00:00,131.82,-0.00450000000000728,-3.41362948466126e-05,131.82,131.81,131.99,1421323.0,,0.18000000000000682,1421323.0,,
2023-11-08 15:55:00,2023-11-08 15:55:00,131.8245,-0.015500000000003,-0.000117566747572838,131.84,131.75,131.99,706554.0,3.413687750327848e-05,0.2400000000000091,706554.0,,
2023-11-08 15:50:00,2023-11-08 15:50:00,131.84,-0.120000000000005,-0.000909366474689334,131.952,131.8201,132.01,333711.0,0.00011757365908465387,0.1898999999999944,333711.0,,
2023-11-08 15:45:00,2023-11-08 15:45:00,131.96,0.305000000000007,0.00231666096995942,131.65,131.6329,131.99,341531.0,0.0009097801992191743,0.35710000000000264,341531.0,,
2023-11-08 15:40:00,2023-11-08 15:40:00,131.655,0.14500000000001,0.00110257775074147,131.51,131.475,131.68,247095.0,-0.002313981648190102,0.2050000000000125,247095.0,,
2023-11-08 15:35:00,2023-11-08 15:35:00,131.51,0.0,0.0,131.515,131.435,131.55,243513.0,-0.0011019703583171948,0.1150000000000091,243513.0,,
2023-11-08 15:30:00,2023-11-08 15:30:00,131.51,0.144999999999982,0.00110379477029636,131.365,131.34,131.53,351901.0,0.0,0.18999999999999773,351901.0,,
2023-11-08 15:25:00,2023-11-08 15:25:00,131.365,-0.0149999999999864,-0.000114172629014967,131.385,131.33,131.425,241605.0,-0.0011031860367523652,0.09499999999999886,241605.0,,
2023-11-08 15:20:00,2023-11-08 15:20:00,131.38,-0.210000000000008,-0.00159586594726049,131.59,131.35,131.61,254326.0,0.00011417914720568238,0.2600000000000193,254326.0,,
2023-11-08 15:15:00,2023-11-08 15:15:00,131.59,-0.125,-0.000949018714649053,131.72,131.535,131.76,250557.0,0.0015971406977224258,0.22499999999999432,250557.0,,
2023-11-08 15:10:00,2023-11-08 15:10:00,131.715,-0.0600000000000023,-0.000455321570859437,131.775,131.71,131.8,192726.0,0.0009494693180194081,0.09000000000000341,192726.0,,
2023-11-08 15:05:00,2023-11-08 15:05:00,131.775,0.103300000000019,0.00078452697124757,131.68,131.62,131.7785,211324.0,0.00045542526120195245,0.15850000000000364,211324.0,,
2023-11-08 15:00:00,2023-11-08 15:00:00,131.6717,-0.108300000000014,-0.000821824252542222,131.78,131.59,131.8,236221.0,-0.0007842193908228541,0.21000000000000796,236221.0,,
2023-11-08 14:55:00,2023-11-08 14:55:00,131.78,-0.0300000000000011,-0.000227600333813832,131.81,131.68,131.81,221374.0,0.0008221621352261592,0.12999999999999545,221374.0,,
2023-11-08 14:50:00,2023-11-08 14:50:00,131.81,-0.180000000000007,-0.00136373967724833,132.0,131.79,132.01,151512.0,0.0002276262387005536,0.21999999999999886,151512.0,,
2023-11-08 14:45:00,2023-11-08 14:45:00,131.99,-0.0949999999999989,-0.000719233826702494,132.08,131.9,132.115,185656.0,0.0013646704164888498,0.2150000000000034,185656.0,,
