Local Date,Local Time,Bid,Ask,High,Low,Open,Refresh Rate,BidNet,BTC_Log_Change,BTC_Bid_ask_spread
2022-11-21 09:30:00,2022-11-21 09:30:00,16175.5,16180.0,16224.0,16173.26,16202.8,763,,,4.5
2022-11-21 09:35:00,2022-11-21 09:35:00,16149.59,16159.75,16230.5,16132.67,16186.93,956,-25.9099999999999,-0.0009799403249099604,10.159999999999854
2022-11-21 09:40:00,2022-11-21 09:40:00,16147.0,16150.0,16168.5,16134.44,16153.0,771,-2.59000000000015,-0.002098335552953604,3.0
2022-11-21 09:45:00,2022-11-21 09:45:00,16160.01,16170.3,16175.0,16144.07,16147.0,694,13.0100000000002,-0.0003715170321370252,10.289999999999054
2022-11-21 09:50:00,2022-11-21 09:50:00,16186.0,16190.0,16191.0,16152.0,16160.01,728,25.9899999999998,0.000805398005154993,4.0
2022-11-21 09:55:00,2022-11-21 09:55:00,16170.0,16178.14,16198.53,16168.0,16186.0,697,-16.0,0.0016069991688711159,8.139999999999418
2022-11-21 10:00:00,2022-11-21 10:00:00,16132.8,16140.28,16173.0,16128.48,16173.0,714,-37.2000000000007,-0.0008034859358687622,7.480000000001382
2022-11-21 10:05:00,2022-11-21 10:05:00,16118.0,16121.0,16150.25,16101.0,16145.51,883,-14.7999999999993,-0.0017011926991560024,3.0
2022-11-21 10:10:00,2022-11-21 10:10:00,16120.0,16122.0,16129.75,16105.67,16118.0,776,2.0,-0.0017053325361657784,2.0
2022-11-21 10:15:00,2022-11-21 10:15:00,16114.0,16116.0,16137.85,16111.61,16121.0,729,-6.0,0.00018610999154190254,2.0
2022-11-21 10:20:00,2022-11-21 10:20:00,16128.0,16130.0,16143.82,16108.92,16118.73,769,14.0,-0.00014082003811763773,2.0
2022-11-21 10:25:00,2022-11-21 10:25:00,16108.0,16110.0,16139.0,16094.97,16129.0,753,-20.0,0.0006369440793017616,2.0
2022-11-21 10:30:00,2022-11-21 10:30:00,16114.99,16126.97,16122.05,16098.0,16108.0,703,6.98999999999978,-0.0013028509458378116,11.979999999999563
2022-11-21 10:35:00,2022-11-21 10:35:00,16123.0,16124.0,16144.25,16102.0,16109.0,698,8.01000000000022,6.207902662076768e-05,1.0
2022-11-21 10:40:00,2022-11-21 10:40:00,16129.01,16137.97,16139.5,16121.0,16123.0,611,6.01000000000022,0.0008687019657742338,8.959999999999127
2022-11-21 10:45:00,2022-11-21 10:45:00,16112.21,16118.25,16140.25,16108.0,16122.0,639,-16.8000000000011,-6.202512019358537e-05,6.040000000000873
2022-11-21 10:50:00,2022-11-21 10:50:00,16113.01,16120.32,16130.33,16090.0,16130.33,673,0.800000000001091,0.000516551838904107,7.309999999999491
2022-11-21 10:55:00,2022-11-21 10:55:00,16105.0,16108.0,16131.25,16094.0,16113.01,647,-8.01000000000022,-0.001074330492180716,3.0
2022-11-21 11:00:00,2022-11-21 11:00:00,16101.23,16112.08,16124.67,16097.52,16105.0,771,-3.77000000000044,-0.0004972374249704113,10.850000000000364
2022-11-21 11:05:00,2022-11-21 11:05:00,16105.26,16114.98,16114.5,16091.91,16099.0,689,4.03000000000065,-0.00037262452300482305,9.719999999999345
2022-11-21 11:10:00,2022-11-21 11:10:00,16099.62,16114.42,16115.75,16095.5,16102.0,669,-5.63999999999942,0.00018632961763174045,14.799999999999272
2022-11-21 11:15:00,2022-11-21 11:15:00,16071.0,16076.0,16105.0,16061.5,16105.0,824,-28.6200000000008,0.000186294905373102,5.0
2022-11-21 11:20:00,2022-11-21 11:20:00,16047.0,16048.0,16100.23,16036.17,16076.0,799,-24.0,-0.0018023061962074188,1.0
2022-11-21 11:25:00,2022-11-21 11:25:00,16026.39,16040.67,16070.08,15991.91,16050.14,987,-20.6100000000006,-0.0016099043075396863,14.280000000000655
2022-11-21 11:30:00,2022-11-21 11:30:00,15982.0,15987.0,16027.21,15962.0,16020.0,904,-44.3899999999994,-0.001879630639201791,5.0
2022-11-21 11:35:00,2022-11-21 11:35:00,15939.57,15955.85,15996.26,15895.58,15981.0,1108,-42.4300000000003,-0.002437425037241354,16.280000000000655
2022-11-21 11:40:00,2022-11-21 11:40:00,15961.0,15964.0,15990.55,15925.57,15937.0,1017,21.4300000000003,-0.002757066725475164,3.0
2022-11-21 11:45:00,2022-11-21 11:45:00,16000.0,16005.0,16017.11,15954.0,15955.25,994,39.0,0.001144478799208861,5.0
2022-11-21 11:50:00,2022-11-21 11:50:00,16050.97,16059.32,16061.23,15978.85,16001.0,1009,50.9699999999993,0.0028632916100320175,8.350000000000364
2022-11-21 11:55:00,2022-11-21 11:55:00,16031.0,16039.0,16052.93,16018.07,16044.0,869,-19.9699999999993,0.0026837276210687462,8.0
2022-11-21 12:00:00,2022-11-21 12:00:00,16013.33,16028.08,16038.3,16000.01,16031.0,805,-17.6700000000001,-0.0008106002002698975,14.75
2022-11-21 12:05:00,2022-11-21 12:05:00,16015.0,16016.0,16053.75,15999.05,16018.5,867,1.67000000000007,-0.0007800434099639669,1.0
2022-11-21 12:10:00,2022-11-21 12:10:00,15994.69,16007.93,16033.95,15987.52,16008.75,805,-20.3099999999995,-0.0006088565394281088,13.239999999999782
2022-11-21 12:15:00,2022-11-21 12:15:00,15997.0,16004.0,16027.67,15984.33,16002.0,753,2.30999999999949,-0.0004217333302122873,7.0
2022-11-21 12:20:00,2022-11-21 12:20:00,16037.43,16038.81,16041.5,15986.34,15996.0,753,40.4300000000003,-0.0003750234433603165,1.3799999999991996
2022-11-21 12:25:00,2022-11-21 12:25:00,16026.67,16041.64,16047.0,16004.44,16024.0,688,-10.7600000000002,0.0017489073789452622,14.969999999999345
2022-11-21 12:30:00,2022-11-21 12:30:00,15987.0,15988.0,16042.25,15979.59,16040.75,809,-39.6700000000001,0.0010447610864634642,1.0
2022-11-21 12:35:00,2022-11-21 12:35:00,16004.0,16007.0,16010.75,15961.12,15987.0,896,17.0,-0.0033564674672255353,3.0
2022-11-21 12:40:00,2022-11-21 12:40:00,16034.0,16035.0,16044.75,16000.62,16004.0,780,30.0,0.0010627990122337935,1.0
2022-11-21 12:45:00,2022-11-21 12:45:00,16030.38,16040.15,16036.75,16019.0,16024.35,732,-3.6200000000008,0.0012707493666353142,9.770000000000437
2022-11-21 12:50:00,2022-11-21 12:50:00,16009.0,16021.57,16044.0,16005.53,16030.76,604,-21.3799999999992,0.0003999362401463299,12.569999999999709
2022-11-21 12:55:00,2022-11-21 12:55:00,16003.2,16016.14,16025.0,15996.02,16018.0,629,-5.79999999999927,-0.000796286700279895,12.93999999999869
2022-11-21 13:00:00,2022-11-21 13:00:00,15990.41,16003.81,16017.09,15985.25,16008.0,696,-12.7900000000009,-0.0006244926200582304,13.399999999999636
