Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume,PEP_Log_Change,PEP_High_Low_Spread,PEP_Volume,PEP_1hr_Moving_Average,PEP_RSI,PEP_Volatility
2022-11-21 09:30:00,2022-11-21 09:30:00,182.3,0.880000000000024,0.00485062286407245,181.42,181.1515,182.3,4178.0,0.004838896497819296,1.1485000000000127,4178.0,,,0.0015920855506605192
2022-11-21 09:35:00,2022-11-21 09:35:00,182.7,0.399999999999977,0.00219418540866691,182.27,181.825,182.9488,102910.0,0.0021917816993435387,1.123800000000017,102910.0,,,0.0015920855506605192
2022-11-21 09:40:00,2022-11-21 09:40:00,182.55,-0.149999999999977,-0.000821018062397248,182.664,182.37,182.77,37971.0,-0.0008213552823149926,0.4000000000000057,37971.0,,,0.0015920855506605192
2022-11-21 09:45:00,2022-11-21 09:45:00,183.11,0.560000000000002,0.003067652697891,182.54,182.53,183.12,63052.0,0.0030629570519765657,0.5900000000000034,63052.0,,,0.0015920855506605192
2022-11-21 09:50:00,2022-11-21 09:50:00,183.3525,0.242499999999978,0.00132434056031882,183.11,182.8194,183.449,49152.0,0.0013234643948345434,0.6296000000000106,49152.0,,,0.0015920855506605192
2022-11-21 09:55:00,2022-11-21 09:55:00,183.45,0.0974999999999966,0.000531762588456643,183.34,183.22,183.61,72790.0,0.0005316212528338671,0.3900000000000148,72790.0,,,0.0015920855506605192
2022-11-21 10:00:00,2022-11-21 10:00:00,183.65,0.200000000000017,0.0010902153175253,183.46,183.38,183.73,54161.0,0.0010896214643854529,0.3499999999999943,54161.0,,,0.0015920855506605192
2022-11-21 10:05:00,2022-11-21 10:05:00,183.645,-0.00499999999999545,-2.72257010617776e-05,183.65,183.5101,183.7499,68098.0,-2.7226071687854485e-05,0.23980000000000246,68098.0,,,0.0015920855506605192
2022-11-21 10:10:00,2022-11-21 10:10:00,183.5915,-0.0535000000000139,-0.000291322932832442,183.64,183.5,183.73,33358.0,-0.00029136537560123693,0.22999999999998977,33358.0,,,0.0015920855506605192
2022-11-21 10:15:00,2022-11-21 10:15:00,183.79,0.198499999999996,0.00108120473987083,183.58,183.58,183.84,55173.0,0.0010806206589953926,0.2599999999999909,55173.0,,,0.0015920855506605192
2022-11-21 10:20:00,2022-11-21 10:20:00,183.9938,0.203800000000001,0.00110887425866479,183.8,183.6508,184.02,94085.0,0.001108259911717653,0.3692000000000064,94085.0,,,0.0015920855506605192
2022-11-21 10:25:00,2022-11-21 10:25:00,183.94,-0.0537999999999954,-0.000292401156995483,183.99,183.77,184.045,50762.0,-0.0002924439145488845,0.27499999999997726,50762.0,,,0.0015920855506605192
2022-11-21 10:30:00,2022-11-21 10:30:00,184.07,0.129999999999995,0.000706752201804912,183.94,183.68,184.08,27353.0,0.0007065025700791507,0.4000000000000057,27353.0,,,0.0015920855506605192
2022-11-21 10:35:00,2022-11-21 10:35:00,184.2,0.129999999999995,0.000706253055902621,183.9055,183.9055,184.24,34969.0,0.0007060037765756837,0.3345000000000198,34969.0,,92.94173484608793,0.0015920855506605192
2022-11-21 10:40:00,2022-11-21 10:40:00,184.63,0.430000000000007,0.00233441910966345,184.2,184.1735,184.63,48604.0,0.0023316985864453386,0.45650000000000546,48604.0,,93.56692621431235,0.0015920855506605192
2022-11-21 10:45:00,2022-11-21 10:45:00,184.74,0.110000000000014,0.000595786166928525,184.2966,184.2966,184.75,58692.0,0.000595608756812382,0.4533999999999878,58692.0,,93.44540989799788,0.0015920855506605192
2022-11-21 10:50:00,2022-11-21 10:50:00,184.85,0.109999999999985,0.000595431417126693,184.74,184.6,184.93,50609.0,0.000595254218176732,0.3300000000000125,50609.0,183.13130500000003,93.59332047757776,0.0015920855506605192
2022-11-21 10:55:00,2022-11-21 10:55:00,184.72,-0.129999999999995,-0.000703272923992402,184.7384,184.71,184.86953,28908.0,-0.0007035203364009917,0.1595299999999895,28908.0,183.30172499999998,91.16213083962774,0.0015920855506605192
2022-11-21 11:00:00,2022-11-21 11:00:00,184.845,0.125,0.000676699870073625,184.725,184.58,184.95,32029.0,0.0006764710119561782,0.3699999999999761,32029.0,183.471475,89.61639590571906,0.0015920855506605192
