date,SENTIMENT_Neg,SENTIMENT_Neu,SENTIMENT_Pos
2023-05-01,0.04,0.784,0.176
2023-05-02,0.0808888888888888,0.8348888888888888,0.0841111111111111
2023-05-03,0.0535,0.879,0.067
2023-05-04,0.0255,0.877,0.0975
2023-05-07,0.1,0.766,0.134
2023-05-08,0.029,0.858,0.113
2023-05-09,0.0745,0.8594999999999999,0.066
2023-05-10,0.097,0.8425,0.061
2023-05-11,0.0655,0.8627499999999999,0.07175
2023-05-12,0.0395,0.891,0.0695
2023-05-15,0.077,0.852,0.071
2023-05-16,0.044,0.8362499999999999,0.1195
2023-05-18,0.0165,0.878,0.1055
2023-05-21,0.027,0.906,0.067
2023-05-22,0.066,0.8300000000000001,0.10425
2023-05-23,0.0479999999999999,0.8743333333333334,0.0776666666666666
2023-05-24,0.121,0.826,0.053
2023-05-25,0.098,0.8176666666666667,0.0843333333333333
2023-05-26,0.073,0.876,0.05
2023-05-28,0.075,0.842,0.083
2023-05-29,0.071,0.8214,0.1076
2023-05-30,0.085,0.824,0.091
2023-05-31,0.0424999999999999,0.88975,0.0675
2023-06-01,0.043,0.8713333333333333,0.086
2023-06-02,0.04,0.874,0.086
2023-06-04,0.036,0.882,0.082
2023-06-05,0.071,0.864,0.065
2023-06-07,0.0746666666666666,0.8293333333333334,0.096
2023-06-08,0.045,0.8544999999999999,0.1004999999999999
2023-06-09,0.054,0.8625,0.084
2023-06-12,0.0414999999999999,0.879,0.08
2023-06-13,0.048,0.87075,0.0809999999999999
2023-06-14,0.038,0.905,0.0572499999999999
2023-06-15,0.099,0.848,0.054
2023-06-16,0.0465,0.904,0.0494999999999999
2023-06-20,0.0183333333333333,0.9386666666666666,0.043
2023-06-21,0.033,0.845,0.123
2023-06-22,0.036,0.915,0.05
2023-06-23,0.0525,0.8785000000000001,0.0694999999999999
2023-06-25,0.078,0.758,0.164
2023-06-26,0.073,0.8475,0.0795
2023-06-27,0.069,0.8454999999999999,0.0855
2023-06-28,0.0265,0.89,0.0834999999999999
2023-06-29,0.0669999999999999,0.8448333333333333,0.088
2023-06-30,0.0445,0.911,0.0445
2023-07-03,0.0455,0.848,0.1065
2023-07-04,0.0503333333333333,0.8806666666666666,0.0689999999999999
2023-07-05,0.032,0.915,0.054
2023-07-06,0.02625,0.899,0.07475
2023-07-07,0.036,0.794,0.17
2023-07-08,0.073,0.82,0.106
2023-07-10,0.0526666666666666,0.8450000000000001,0.102
2023-07-11,0.037,0.8454999999999999,0.1175
2023-07-12,0.0366666666666666,0.828,0.1353333333333333
2023-07-13,0.0354,0.8686,0.0958
2023-07-14,0.083,0.83,0.087
2023-07-17,0.056,0.86725,0.077
2023-07-19,0.05,0.879,0.07125
2023-07-20,0.045,0.8444,0.1107999999999999
2023-07-24,0.053,0.841,0.106
2023-07-25,0.0526666666666666,0.8563333333333333,0.091
2023-07-26,0.0633333333333333,0.834,0.103
2023-07-27,0.0455,0.827,0.12775
2023-07-28,0.0277499999999999,0.8845000000000001,0.08775
2023-07-31,0.016,0.904,0.08
2023-08-01,0.0415,0.9155,0.044
2023-08-02,0.0346666666666666,0.887,0.0783333333333333
2023-08-03,0.0616666666666666,0.859,0.0793333333333333
2023-08-04,0.055,0.8706666666666667,0.0753333333333333
2023-08-07,0.08725,0.82575,0.087
2023-08-08,0.1065,0.8205,0.073
2023-08-09,0.04175,0.8747499999999999,0.08325
2023-08-10,0.039,0.851,0.111
2023-08-11,0.0795,0.823,0.097
2023-08-12,0.0,0.962,0.038
2023-08-14,0.022,0.887,0.091
2023-08-15,0.0603333333333333,0.9043333333333332,0.0353333333333333
2023-08-16,0.055,0.8480000000000001,0.0975
2023-08-17,0.0595,0.85,0.0905
2023-08-18,0.028,0.898,0.074
2023-08-21,0.031,0.85,0.119
2023-08-22,0.04175,0.8720000000000001,0.08625
2023-08-23,0.04,0.8688333333333335,0.091
2023-08-24,0.0432857142857142,0.8592857142857142,0.0974285714285714
2023-08-25,0.057,0.887,0.056
2023-08-28,0.04,0.8973333333333332,0.0626666666666666
2023-08-29,0.04,0.86,0.0995
2023-08-30,0.084,0.823,0.094
2023-08-31,0.0349999999999999,0.8925000000000001,0.0725
2023-09-01,0.054,0.903,0.043
2023-09-04,0.02,0.888,0.092
2023-09-05,0.047,0.8965,0.0564999999999999
2023-09-07,0.0543333333333333,0.856,0.0896666666666666
2023-09-08,0.0654,0.8624,0.0723999999999999
2023-09-10,0.058,0.863,0.079
2023-09-11,0.045,0.8463333333333334,0.1086666666666666
2023-09-12,0.0502,0.8524,0.0974
2023-09-13,0.032,0.8645,0.1035
2023-09-14,0.0393333333333333,0.9006666666666666,0.0596666666666666
2023-09-15,0.081,0.845,0.074
2023-09-18,0.0835,0.825,0.092
2023-09-19,0.06475,0.86725,0.0685
2023-09-20,0.0562,0.858,0.0849999999999999
2023-09-21,0.0386666666666666,0.8893333333333332,0.072
2023-09-22,0.0501666666666666,0.85,0.0999999999999999
2023-09-23,0.061,0.837,0.102
2023-09-25,0.0608,0.8612,0.0779999999999999
2023-09-26,0.07075,0.84875,0.08025
2023-09-27,0.0721666666666666,0.8391666666666667,0.0885
2023-09-28,0.0405,0.87425,0.0855
2023-09-29,0.0445,0.8805000000000001,0.075
2023-10-02,0.0613333333333333,0.8526666666666666,0.086
2023-10-03,0.048,0.882,0.07
2023-10-04,0.044,0.911,0.045
2023-10-05,0.0279999999999999,0.904,0.068
2023-10-06,0.022,0.865,0.113
2023-10-09,0.05925,0.8704999999999999,0.07025
2023-10-10,0.089,0.8005,0.1105
2023-10-11,0.0955,0.8285,0.0755
2023-10-12,0.1185,0.7925,0.089
2023-10-13,0.058,0.87275,0.069
2023-10-16,0.025,0.872,0.103
2023-10-17,0.114,0.758,0.127
2023-10-18,0.044,0.89,0.066
2023-10-19,0.0545,0.8545,0.0905
2023-10-20,0.034,0.934,0.031
2023-10-23,0.01,0.86,0.129
2023-10-24,0.056,0.85275,0.09125
2023-10-25,0.0865,0.813,0.101
2023-10-26,0.0413333333333333,0.8700000000000001,0.0886666666666666
2023-10-27,0.05875,0.8280000000000001,0.113
2023-10-29,0.036,0.851,0.113
2023-10-30,0.059,0.902,0.039
2023-11-01,0.05275,0.889,0.0582499999999999
2023-11-02,0.061,0.8734999999999999,0.0655
2023-11-03,0.061,0.8475,0.0915
2023-11-06,0.062,0.8275,0.11
2023-11-07,0.006,0.885,0.109
2023-11-08,0.033,0.8758571428571429,0.0912857142857142
